path,name,method,action,res_type,parent_name,default,display_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,camera_start_stream,,,,action_camera_liveview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/live/cameras/alerts,action_camera_alert_list,GET,action,,action_camera_liveview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,event_list,GET,api,,action_camera_liveview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,event_detail,,,,action_camera_liveview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,algo_event_type_list,GET,api,,action_camera_liveview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings,menu_settings,GET,menu,,,,系统设置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/users,menu_settings_users,GET,menu,,menu_settings,,用户管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/users/list,action_user_list,GET,action,,menu_settings_users,,查看用户列表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,user_list,GET,api,,action_user_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_list,GET,api,,action_user_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_list,GET,api,,action_user_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/users/state,action_user_state,GET,action,,menu_settings_users,,管理用户状态,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,user_activate,POST,api,,action_user_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,user_deactivate,POST,api,,action_user_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,user_batch_activate,POST,api,,action_user_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,user_batch_deactivate,POST,api,,action_user_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/users/create,action_user_create,GET,action,,menu_settings_users,,添加用户,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_list,GET,api,,action_user_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_list,GET,api,,action_user_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,user_create,POST,api,,action_user_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/users/update,action_user_update,GET,action,,menu_settings_users,,修改用户,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_list,GET,api,,action_user_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_list,GET,api,,action_user_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,user_view,GET,api,,action_user_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,user_update,PUT,api,,action_user_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/users/delete,action_user_delete,GET,action,,menu_settings_users,,删除用户,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,user_delete,DELETE,api,,action_user_delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/roles,menu_settings_roles,GET,menu,,menu_settings,,角色管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/roles/list,action_role_list,GET,action,,menu_settings_roles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_list,GET,api,,action_role_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/roles/create,action_role_create,GET,action,,menu_settings_roles,,添加角色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_list,GET,api,,action_role_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_view,GET,api,,action_role_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,perm_list,GET,api,,action_role_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_list,GET,api,,action_role_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_create,POST,api,,action_role_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/roles/update,action_role_update,GET,action,,menu_settings_roles,,修改角色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_list,GET,api,,action_role_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_view,GET,api,,action_role_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,perm_list,GET,api,,action_role_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_list,GET,api,,action_role_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_update,PUT,api,,action_role_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/roles/delete,action_role_delete,GET,action,,menu_settings_roles,,删除角色,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,role_delete,DELETE,api,,action_role_delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/sites,menu_settings_sites,GET,menu,,menu_settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/sites/list,action_site_list,GET,action,,menu_settings_sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_list,GET,api,,action_site_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,box_list,GET,api,,action_site_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,camera_list,GET,api,,action_site_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,user_list,GET,api,,action_site_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/sites/create,action_site_create,GET,action,,menu_settings_sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_list,GET,api,,action_site_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_create,POST,api,,action_site_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/sites/update,action_site_update,GET,action,,menu_settings_sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_list,GET,api,,action_site_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_update,PUT,api,,action_site_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/sites/delete,action_site_delete,GET,action,,menu_settings_sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_delete,DELETE,api,,action_site_delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,添加站点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,修改站点,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
